id,id1,id2,id3...4,id3...5
WO29637_ngs_rna_targrna_EA_1f1dc402a6_1.fastq.gz,WO29637_ngs_rna_targrna_EA_1f1dc402a6_1.fastq.gz,EA_1f1dc402a6,EGAN00002799111,EGAF00004853973
WO29637_ngs_rna_targrna_EA_1f1dc402a6_2.fastq.gz,WO29637_ngs_rna_targrna_EA_1f1dc402a6_2.fastq.gz,EA_1f1dc402a6,EGAN00002799111,EGAF00004853974
WO29637_ngs_rna_targrna_EA_29a39642e8_1.fastq.gz,WO29637_ngs_rna_targrna_EA_29a39642e8_1.fastq.gz,EA_29a39642e8,EGAN00002799140,EGAF00004853971
WO29637_ngs_rna_targrna_EA_29a39642e8_2.fastq.gz,WO29637_ngs_rna_targrna_EA_29a39642e8_2.fastq.gz,EA_29a39642e8,EGAN00002799140,EGAF00004853972
WO29637_ngs_rna_targrna_EA_2ede7ed4fb_1.fastq.gz,WO29637_ngs_rna_targrna_EA_2ede7ed4fb_1.fastq.gz,EA_2ede7ed4fb,EGAN00002799165,EGAF00004851256
WO29637_ngs_rna_targrna_EA_2ede7ed4fb_2.fastq.gz,WO29637_ngs_rna_targrna_EA_2ede7ed4fb_2.fastq.gz,EA_2ede7ed4fb,EGAN00002799165,EGAF00004851257
WO29637_ngs_rna_targrna_EA_339120376a_1.fastq.gz,WO29637_ngs_rna_targrna_EA_339120376a_1.fastq.gz,EA_339120376a,EGAN00002799171,EGAF00004853100
WO29637_ngs_rna_targrna_EA_339120376a_2.fastq.gz,WO29637_ngs_rna_targrna_EA_339120376a_2.fastq.gz,EA_339120376a,EGAN00002799171,EGAF00004853101
WO29637_ngs_rna_targrna_EA_35035f7d80_1.fastq.gz,WO29637_ngs_rna_targrna_EA_35035f7d80_1.fastq.gz,EA_35035f7d80,EGAN00002799186,EGAF00004853102
WO29637_ngs_rna_targrna_EA_35035f7d80_2.fastq.gz,WO29637_ngs_rna_targrna_EA_35035f7d80_2.fastq.gz,EA_35035f7d80,EGAN00002799186,EGAF00004853103
WO29637_ngs_rna_targrna_EA_3611b2e388_1.fastq.gz,WO29637_ngs_rna_targrna_EA_3611b2e388_1.fastq.gz,EA_3611b2e388,EGAN00002799195,EGAF00004853098
WO29637_ngs_rna_targrna_EA_3611b2e388_2.fastq.gz,WO29637_ngs_rna_targrna_EA_3611b2e388_2.fastq.gz,EA_3611b2e388,EGAN00002799195,EGAF00004853099
WO29637_ngs_rna_targrna_EA_9a01ceb8ec_1.fastq.gz,WO29637_ngs_rna_targrna_EA_9a01ceb8ec_1.fastq.gz,EA_9a01ceb8ec,EGAN00002799507,EGAF00004851878
WO29637_ngs_rna_targrna_EA_9a01ceb8ec_2.fastq.gz,WO29637_ngs_rna_targrna_EA_9a01ceb8ec_2.fastq.gz,EA_9a01ceb8ec,EGAN00002799507,EGAF00004851879
WO29637_ngs_rna_targrna_EA_ae5becfa20_1.fastq.gz,WO29637_ngs_rna_targrna_EA_ae5becfa20_1.fastq.gz,EA_ae5becfa20,EGAN00002799560,EGAF00004851258
WO29637_ngs_rna_targrna_EA_ae5becfa20_2.fastq.gz,WO29637_ngs_rna_targrna_EA_ae5becfa20_2.fastq.gz,EA_ae5becfa20,EGAN00002799560,EGAF00004851259
WO29637_ngs_rna_targrna_EA_c5344ae21d_1.fastq.gz,WO29637_ngs_rna_targrna_EA_c5344ae21d_1.fastq.gz,EA_c5344ae21d,EGAN00002799637,EGAF00004851874
WO29637_ngs_rna_targrna_EA_c5344ae21d_2.fastq.gz,WO29637_ngs_rna_targrna_EA_c5344ae21d_2.fastq.gz,EA_c5344ae21d,EGAN00002799637,EGAF00004851875
WO29637_ngs_rna_targrna_EA_c852ee710e_1.fastq.gz,WO29637_ngs_rna_targrna_EA_c852ee710e_1.fastq.gz,EA_c852ee710e,EGAN00002799644,EGAF00004851986
WO29637_ngs_rna_targrna_EA_c852ee710e_2.fastq.gz,WO29637_ngs_rna_targrna_EA_c852ee710e_2.fastq.gz,EA_c852ee710e,EGAN00002799644,EGAF00004851987
WO29637_ngs_rna_targrna_EA_ca4400c3de_1.fastq.gz,WO29637_ngs_rna_targrna_EA_ca4400c3de_1.fastq.gz,EA_ca4400c3de,EGAN00002799658,EGAF00004851870
WO29637_ngs_rna_targrna_EA_ca4400c3de_2.fastq.gz,WO29637_ngs_rna_targrna_EA_ca4400c3de_2.fastq.gz,EA_ca4400c3de,EGAN00002799658,EGAF00004851871
WO29637_ngs_rna_targrna_EA_ccd1e1aa3d_1.fastq.gz,WO29637_ngs_rna_targrna_EA_ccd1e1aa3d_1.fastq.gz,EA_ccd1e1aa3d,EGAN00002799666,EGAF00004851988
WO29637_ngs_rna_targrna_EA_ccd1e1aa3d_2.fastq.gz,WO29637_ngs_rna_targrna_EA_ccd1e1aa3d_2.fastq.gz,EA_ccd1e1aa3d,EGAN00002799666,EGAF00004851989
WO29637_ngs_rna_targrna_EA_d4d8bcee3a_1.fastq.gz,WO29637_ngs_rna_targrna_EA_d4d8bcee3a_1.fastq.gz,EA_d4d8bcee3a,EGAN00002799699,EGAF00004851330
WO29637_ngs_rna_targrna_EA_d4d8bcee3a_2.fastq.gz,WO29637_ngs_rna_targrna_EA_d4d8bcee3a_2.fastq.gz,EA_d4d8bcee3a,EGAN00002799699,EGAF00004851331
WO29637_ngs_rna_targrna_EA_e390ead07c_1.fastq.gz,WO29637_ngs_rna_targrna_EA_e390ead07c_1.fastq.gz,EA_e390ead07c,EGAN00002799752,EGAF00004851990
WO29637_ngs_rna_targrna_EA_e390ead07c_2.fastq.gz,WO29637_ngs_rna_targrna_EA_e390ead07c_2.fastq.gz,EA_e390ead07c,EGAN00002799752,EGAF00004851991
WO29637_ngs_rna_targrna_EA_f57f80aa06_1.fastq.gz,WO29637_ngs_rna_targrna_EA_f57f80aa06_1.fastq.gz,EA_f57f80aa06,EGAN00002799808,EGAF00004853975
WO29637_ngs_rna_targrna_EA_f57f80aa06_2.fastq.gz,WO29637_ngs_rna_targrna_EA_f57f80aa06_2.fastq.gz,EA_f57f80aa06,EGAN00002799808,EGAF00004853976
WO29637_ngs_rna_targrna_EA_fc8a5243b9_1.fastq.gz,WO29637_ngs_rna_targrna_EA_fc8a5243b9_1.fastq.gz,EA_fc8a5243b9,EGAN00002799828,EGAF00004851876
WO29637_ngs_rna_targrna_EA_fc8a5243b9_2.fastq.gz,WO29637_ngs_rna_targrna_EA_fc8a5243b9_2.fastq.gz,EA_fc8a5243b9,EGAN00002799828,EGAF00004851877
